Name ,Party,State,Chamber,Twitter Handle,icpsr,Caucus/Informal Group Affiliation
Ed Case,Democratic,Hawaii,House of Representatives,RepEdCase,20322,Blue Dog Coalition
Stephanie N. Murphy,Democratic,Florida,House of Representatives,RepStephMurphy ; SMurphyCongress,21738,Blue Dog Coalition
Tom O'Halleran,Democratic,Arizona,House of Representatives,repohalleran ; TomOHalleran,21739,Blue Dog Coalition
"Sanford D. Bishop, Jr.",Democratic,Georgia,House of Representatives,SanfordBishop,29339,Blue Dog Coalition
Jim Cooper,Democratic,Tennessee,House of Representatives,repjimcooper ; CoopForCongress,15019,Blue Dog Coalition
J. Luis Correa,Democratic,California,House of Representatives,reploucorrea ; voteloucorrea,21711,Blue Dog Coalition
Jim Costa,Democratic,California,House of Representatives,RepJimCosta,20501,Blue Dog Coalition
Charlie Crist,Democratic,Florida,House of Representatives,repcharliecrist ; CharlieCrist,21712,Blue Dog Coalition
Henry Cuellar,Democratic,Texas,House of Representatives,RepCuellar ; CuellarCampaign,20533,Blue Dog Coalition
Jared F. Golden,Democratic,Maine,House of Representatives,repgolden ; golden4congress,21923,Blue Dog Coalition
Vicente Gonzalez,Democratic,Texas,House of Representatives,"RepGonzalez ; 
 VoteVicente",21722,Blue Dog Coalition
Josh Gottheimer,Democratic,New Jersey,House of Representatives,RepJoshG ; JoshGottheimer,21723,Blue Dog Coalition
Bradley Scott Schneider,Democratic,Illinois,House of Representatives,repschneider ; Schneider4IL10,21326,Blue Dog Coalition
Kurt Schrader,Democratic,Oregon,House of Representatives,RepSchrader ; VoteSchrader,20944,Blue Dog Coalition
David Scott,Democratic,Georgia,House of Representatives,RepDavidScott,20321,Blue Dog Coalition
Mikie Sherrill,Democratic,New Jersey,House of Representatives,RepSherrill,21964,Blue Dog Coalition
Abigail Spanberger,Democratic,Virginia,House of Representatives,RepSpanberger ; SpanbergerVA07,21966,Blue Dog Coalition
Mike Thompson,Democratic,California,House of Representatives,RepThompson,29901,Blue Dog Coalition
Rodney Davis,Republican,Illinois,House of Representatives,RodneyDavis ;                                                                                                                                                                                                                                                                                                                                                             ElectRodney,21328,Tuesday Group
Adam Kinzinger,Republican,Illinois,House of Representatives,RepKinzinger ;                                                                                                                                                                                                                                                                                                                                                  AdamKinzinger,21128,Tuesday Group ; Rockefeller Republican
Fred Upton,Republican,Michigan,House of Representatives,RepFredUpton ;                                                                                                                                                                 UptonForAllOfUs,15446,Tuesday Group ; Rockefeller Republican
Elise M. Stefanik,Republican,New York,House of Representatives,"RepStefanik;
EliseStefanik",21541,Tuesday Group
Tom Reed,Republican,New York,House of Representatives,"RepTomReed;
TomReedCongress",21101,Tuesday Group
John Katko,Republican,New York,House of Representatives,RepJohnKatko,21542,Tuesday Group ; Rockefeller Republican
Michael R. Turner,Republican,Ohio,House of Representatives,RepMikeTurner ; MikeTurnerOH,20342,Tuesday Group
Brian Fitzpatrick,Republican,Pennsylvania,House of Representatives,"RepBrianFitz ; 
BrianFitzUSA",21718,Tuesday Group ; Rockefeller Republican
Glenn Thompson,Republican,Pennsylvania,House of Representatives,"CongressmanGT;
GT_TeamGT",20946,Tuesday Group
David B. McKinley,Republican,West Virginia,House of Representatives,RepMcKinley,21188,Tuesday Group
Jaime Herrara Beutler,Republican,Washington,House of Representatives,"HerreraBeutler ;
JaimeForUSRep",21187,Tuesday Group ; Rockefeller Republican
Cathy McMorris Rodgers,Republican,Washington,House of Representatives,"cathymcmorris ;
TeamCMR",20535,Tuesday Group
Anthony Gonzalez,Republican,Ohio,House of Representatives,"RepAGonzalez ;
anthonygonzalez",21924,Rockefeller Republican
Young Kim,Republican,California,House of Representatives,RepYoungKim ; YoungKimCA,22129,Rockefeller Republican
Nancy Mace,Republican,South Carolina,House of Representatives,RepNancyMace ; NancyMace,22132,Rockefeller Republican
Maria Elvira Salazar,Republican,Florida,House of Representatives,RepMariaSalazar ; MaElviraSalazar,22150,Rockefeller Republican
Christopher H. Smith,Republican,New Jersey,House of Representatives,RepChrisSmith,14863,Rockefeller Republican
David G. Valadao,Republican,California,House of Representatives,RepDavidValadao ; dgvaladao,21307,Rockefeller Republican
Susan M. Collins,Republican,Maine,Senate,"SenatorCollins ; 
SenSusanCollins",49703,Rockefeller Republican
Lisa Murkowski,Republican,Alaska,Senate,lisamurkowski ,40300,Rockefeller Republican
Rob Portman,Republican,Ohio,Senate,"senrobportman;
robportman",29386,Rockefeller Republican
Mitt Romney,Republican,Utah,Senate,"SenatorRomney; 
Romney4Utah",41902,Rockefeller Republican
Kyrsten Sinema,Democratic,Arizona,Senate,SenatorSinema ;                                                                                                                                                                                                                                                                                                                                             kyrstensinema,21300,Conservative Democrats
Joe Manchin III,Democratic,West Virginia,Senate,Sen_JoeManchin,40915,Conservative Democrats
Mark Kelly,Democratic,Arizona,Senate,"SenMarkKelly ;
CaptMarkKelly",41905,Conservative Democrats
Michael F. Bennet,Democratic,Colorado,Senate,SenatorBennet ;                                                                                                                                                                                                                                                                                                                                              MichaelBennet,40910,Moderate Dems Working Group
Thomas R. Carper,Democratic,Delaware,Senate,SenatorCarper ;                                                                                                                                                                                                                                                                                                                                         TomCarperforDE ,15015,Moderate Dems Working Group
Jeanne Shaheen,Democratic,New Hampshire,Senate,SenatorShaheen ;                                                                                                                                                                                                                                                                                                                                         JeanneShaheen ,40906,Moderate Dems Working Group
Mark R. Warner,Democratic,Virginia,Senate,MarkWarner ;                                                                                                                                                                                                                                                                                                                                                 MarkWarnerVA ,40909,Moderate Dems Working Group
